date	temp	rain	198	3	233	211	98	76	116	21	84	193	268	247	31	99	255	246	41	26	12	159	134	179	235	172	274	217	81	28	131	1	48	112	122	243	82	165	106	265	238	47	63	56	227	232	169	49	121	143	115	215	204	261	102	32	79	8	190	52	234	155	152	237	108	67	120	19	25	178	186	39	94	140	128	107	130	221	273	17	147	18	256	119	164	138	34	216	27	141	96	151	72	258	58	70	263	118	207	239	114	213	111	254	100	196	264	137	168	248	201	174	77	203	74	209	167	7	104	110	97	231	123	46	68	175	166	53	271	42	44	16	210	45	125	202	236	135	251	157	187	109	65	205	133	197	88	156	225	92	33	85	162	13	132	87	194	206	223	214	40	219	9	59	30	91	4	171	117	266	95	22	55	14	62	144	89	189	80	129	181	83	212	78	149	176	23	10	60	229	139	69	245	270	29	38	252	192	153	224	113	208	50	142	269	103	11	242	250	2	182	222	93	57	253	218	136	272	199	105	126	195	145	275	61	260	54	188	163	75	244	276	51	37	124	257	158	43	240	150	220	148	228	6	180	177	267	154	259	73	86	191	5	183	101	24	241	127	64	90	146	161	160	185	66	173	230	71	200	184	262	15	249	35	20	36	226	170
2019-09-20 20:24:00.240875	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019-10-17 06:54:22.039957	16.2	0	30	5	93	40	87	100	20	94	100	90	40	0	10	71	67	35	90	47	5	100	100	100	87	95	93	48	0	0	65	12	20	0	93	61	7	10	0	87	53	5	15	53	20	40	20	16	73	7	0	40	5	5	5	5	25	9	89	24	53	15	47	33	100	57	56	87	52	90	64	89	0	15	64	47	73	50	27	12	7	0	100	25	47	90	24	53	10	80	52	100	87	40	0	0	6	25	73	55	0	33	0	95	95	33	70	70	93	20	85	32	70	47	95	39	10	0	5	10	74	87	90	80	95	87	100	48	100	70	100	5	13	27	100	10	93	90	80	85	20	45	95	58	73	13	0	20	0	0	10	0	100	8	100	0	35	40	90	13	15	22	4	93	10	53	0	100	3	89	3	27	96	5	25	33	0	3	0	100	67	8	0	0	65	85	16	33	89	31	53	96	5	50	5	95	50	100	0	100	3	95	48	0	47	40	0	20	33	27	67	85	82	70	20	67	90	100	80	10	85	62	53	95	95	45	40	0	0	92	65	10	5	100	100	95	93	95	0	92	62	42	60	13	90	67	44	87	20	90	75	87	0	89	100	20	13	95	95	0	4	100	100	67	92	15	33	45	53	40	0	0	47	45	0	0	3	75
2019-10-17 06:54:44.111401	16.2	0	70	95	7	60	13	0	80	6	0	5	60	100	90	19	28	65	10	53	95	0	0	0	7	5	7	52	100	100	35	88	70	100	0	33	93	90	100	13	47	95	85	40	80	60	80	84	20	93	100	60	95	89	95	90	75	91	0	76	47	85	53	67	0	43	44	13	48	10	36	11	100	85	36	53	27	50	73	88	87	92	0	75	53	10	76	47	90	20	43	0	13	60	100	100	89	75	27	45	100	67	100	5	5	67	30	30	7	80	10	63	30	40	0	61	90	95	95	90	26	13	10	15	5	13	0	52	0	25	0	95	87	73	0	90	7	10	20	15	67	55	5	42	27	87	100	80	95	100	90	100	0	92	0	100	62	60	10	87	85	72	96	7	90	47	96	0	97	11	97	73	4	95	75	67	100	97	100	0	33	92	100	100	35	15	84	67	5	69	47	4	95	44	95	5	50	0	100	0	97	0	52	100	53	60	100	80	67	73	5	15	18	30	80	33	10	0	20	90	10	38	47	5	5	55	55	98	100	4	35	90	95	0	0	5	7	5	100	8	38	83	40	87	10	33	56	0	80	10	25	7	93	11	0	80	87	5	5	100	96	0	0	33	8	85	67	55	47	60	100	100	53	50	100	100	97	20
2019-10-17 06:58:22.477259	16.2	0	70	90	7	60	13	0	87	12	0	10	60	100	90	19	28	65	20	67	95	0	0	0	7	0	27	56	100	97	30	92	70	100	0	28	100	90	100	13	47	90	75	40	75	60	75	80	20	97	94	60	100	95	95	90	85	100	0	64	47	85	47	67	0	43	44	13	57	15	29	11	100	100	36	53	20	55	100	82	87	83	0	75	59	10	71	41	90	30	29	0	20	60	100	100	83	75	40	50	100	80	97	11	5	73	25	30	7	80	10	63	30	40	0	61	90	90	100	87	26	20	10	15	5	20	0	52	0	25	0	90	87	67	0	90	7	15	20	20	67	55	11	42	27	93	100	73	95	100	90	100	0	83	0	100	55	67	10	100	81	78	96	20	90	60	96	0	100	11	97	80	8	90	75	67	100	97	100	0	33	96	100	100	35	15	84	67	5	75	47	4	95	44	95	5	50	5	75	5	97	5	48	92	53	67	93	73	67	73	14	15	21	30	93	33	0	0	40	90	10	25	47	10	10	55	55	92	100	16	30	90	95	5	0	10	7	20	100	8	44	78	40	93	0	27	56	0	85	15	25	7	93	6	0	75	93	5	5	100	96	7	0	40	12	90	67	60	47	53	100	97	53	50	100	64	90	20
